Year   ,Win    
1659,-99.9
1660,2
1661,5
1662,5.7
1663,1.7
1664,4.7
1665,2
1666,3.6
1667,2.3
1668,4.3
1669,3.3
1670,2
1671,3.5
1672,2.4
1673,3.7
1674,2.5
1675,2.9
1676,5
1677,1.9
1678,1.8
1679,1
1680,3.2
1681,1
1682,3.7
1683,3.9
1684,-1.2
1685,2.6
1686,6.3
1687,4.7
1688,3.7
1689,2.6
1690,4.3
1691,2.2
1692,1.9
1693,3.8
1694,2.6
1695,0.7
1696,4.7
1697,1.4
1698,1
1699,3.4
1700,3.4
1701,3.2
1702,5
1703,3.5
1704,3.5
1705,3.4
1706,3.8
1707,3.8
1708,4.5
1709,1.1
1710,3.2
1711,4.9
1712,3.8
1713,4.1
1714,4.5
1715,4.3
1716,0.8
1717,3.4
1718,3.2
1719,3.8
1720,4
1721,3.9
1722,4.5
1723,3.1
1724,5.2
1725,3.7
1726,3
1727,3.6
1728,3.3
1729,1.7
1730,4.6
1731,2.5
1732,4.6
1733,5
1734,6.1
1735,4.1
1736,5
1737,5.6
1738,4.7
1739,5.6
1740,-0.4
1741,2.7
1742,3.1
1743,3.3
1744,3.1
1745,3.2
1746,2.2
1747,4.8
1748,3.2
1749,5
1750,5.1
1751,3.3
1752,3.1
1753,3.3
1754,3.5
1755,2.4
1756,4.3
1757,2.3
1758,3.2
1759,5.2
1760,2.7
1761,5.8
1762,4.4
1763,2.5
1764,4.6
1765,2.7
1766,1.4
1767,2.9
1768,2.9
1769,3.3
1770,4.4
1771,2.6
1772,2.9
1773,3.8
1774,2.9
1775,4.7
1776,2.2
1777,2.9
1778,2.5
1779,5.5
1780,1.4
1781,3.3
1782,4.2
1783,3.1
1784,1.2
1785,1.4
1786,2.9
1787,4
1788,3.8
1789,2
1790,5.6
1791,4.4
1792,2.6
1793,3.9
1794,4.7
1795,0.5
1796,6.2
1797,2.5
1798,4.1
1799,2
1800,2.1
1801,4.2
1802,2.2
1803,2.9
1804,4.4
1805,2.7
1806,4
1807,4.4
1808,2.4
1809,3.2
1810,3.3
1811,3.1
1812,3.6
1813,3.1
1814,0.4
1815,3.6
1816,2.4
1817,4.6
1818,3.2
1819,4.1
1820,1.4
1821,3.5
1822,5.8
1823,1.5
1824,4.6
1825,4.3
1826,3.7
1827,2.8
1828,5.7
1829,4
1830,1.1
1831,2.7
1832,4.1
1833,4
1834,6.6
1835,4.7
1836,3.4
1837,3.8
1838,1.4
1839,3.6
1840,3.8
1841,1.6
1842,3
1843,4.5
1844,4.3
1845,1.5
1846,5.7
1847,1.7
1848,4
1849,5
1850,3.4
1851,5
1852,4.8
1853,4.6
1854,3
1855,2.1
1856,3.8
1857,3.8
1858,4.2
1859,5.1
1860,2.3
1861,2.5
1862,4.3
1863,5.7
1864,3.7
1865,2.7
1866,5.4
1867,4.7
1868,4.5
1869,6.7
1870,3
1871,2.3
1872,5.1
1873,4.2
1874,4.9
1875,2.8
1876,4.1
1877,5.9
1878,4.9
1879,0.6
1880,2.4
1881,2.2
1882,5
1883,4.8
1884,5.4
1885,4.3
1886,2.5
1887,2.7
1888,2.6
1889,3.8
1890,4.1
1891,1.4
1892,3.3
1893,2.8
1894,4.4
1895,1.3
1896,4.4
1897,3.7
1898,5.4
1899,5.8
1900,3.1
1901,4.4
1902,3.3
1903,5.2
1904,3.6
1905,4.1
1906,4.5
1907,3.1
1908,4.1
1909,3.5
1910,4.1
1911,5
1912,5.1
1913,5.3
1914,5.2
1915,4.3
1916,5.6
1917,1.5
1918,4.1
1919,4
1920,5.5
1921,5.5
1922,4.9
1923,5.7
1924,3.9
1925,5.8
1926,4.7
1927,4.2
1928,4.3
1929,1.7
1930,4.7
1931,3.8
1932,4.9
1933,4.1
1934,3.1
1935,6.2
1936,3
1937,5.4
1938,4.6
1939,4.7
1940,1.4
1941,2.6
1942,2.3
1943,5.9
1944,4.3
1945,3.6
1946,4.5
1947,1.2
1948,5.1
1949,5.6
1950,5.1
1951,2.9
1952,3.9
1953,3.4
1954,4.2
1955,3.6
1956,3
1957,5.5
1958,4.2
1959,3.6
1960,4.6
1961,4.8
1962,3.6
1963,-0.3
1964,3.5
1965,3.3
1966,4.4
1967,5.1
1968,3.5
1969,3.2
1970,3.3
1971,4.4
1972,4.9
1973,4.9
1974,5.4
1975,6.4
1976,5.2
1977,3.2
1978,4
1979,1.5
1980,4.5
1981,4.5
1982,2.4
1983,4.3
1984,4.3
1985,2.7
1986,3
1987,3.5
1988,5.2
1989,6.5
1990,6.1
1991,3
1992,4.5
1993,4.6
1994,4.7
1995,5.8
1996,3
1997,3.8
1998,6
1999,5.4
2000,5.3
2001,4.3
2002,5.2
2003,4.7
2004,5
2005,5.2
2006,4.2
2007,6.5
2008,5.7
2009,3.6
2010,2.5
2011,3.1
2012,5.2
2013,3.9
2014,6.1
2015,4.6
2016,6.8
2017,5.4
2018,4.4
2019,5.9
2020,6.2
2021,4.5
2022,5.9
2023,5